Text,2,,,,,,,,,,,,,,
Text,4,,,,,,,,,,,,,,
Text,Downloads,,,,,,,,,,,,,,
Text,Dolby Atmos support,,,,,,,,,,,,,,
Text,Ad-free streaming**,,,,,,,,,,,,,,
Text,*Savings compared to 12 months of the monthly subscription price.,,,,,,,,,,,,,,
**All plans may include promos for Disney+ programs. Limited live programs may include ads. Video and audio quality subject to internet service and device capabilities. Standard with Ads Plan: device support varies, no content download functionality. Learn more.,,,,,,,,,,,,,,
Text,Enjoy the world's greatest stories - anytime, anywhere.,,,,,,,,,,,,,
Text,Explore thousands of hours of TV series, movies and originals.,,,,,,,,,,,,,
Text,Stream on up to four screens at once on compatible devices.,,,,,,,,,,,,,,
Text,Keep your family safe with our intuitive parental controls.,,,,,,,,,,,,,,
Text,Amazon Fire TV,,,,,,,,,,,,,,
Android TV devices,,,,,,,,,,,,,,,
Apple TV,,,,,,,,,,,,,,,
Chromecast,,,,,,,,,,,,,,,
LG TV,,,,,,,,,,,,,,,
Roku,,,,,,,,,,,,,,,
Samsung,,,,,,,,,,,,,,,
Vizio SmartCast TV,,,,,,,,,,,,,,,
Text,Chrome OS,,,,,,,,,,,,,,
MacOS,,,,,,,,,,,,,,,
Windows PC,,,,,,,,,,,,,,,
Text,Amazon Fire Tablets,,,,,,,,,,,,,,
Android Phones & Tablets,,,,,,,,,,,,,,,
iPhone & iPad,,,,,,,,,,,,,,,
Text,PS4,,,,,,,,,,,,,,
PS5,,,,,,,,,,,,,,,
Xbox One,,,,,,,,,,,,,,,
Xbox Series X,,,,,,,,,,,,,,,
Xbox Series S,,,,,,,,,,,,,,,
Image,Disney+,https://cnbl-cdn.bamgrid.com/assets/b1dfa5bf0eb59de200167e5ca961e8d3387a8bcd424c0ad6f418686a66a2a505/original,,,,,,,,,,,,,
Image,Disney+,https://cnbl-cdn.bamgrid.com/assets/eb2621a6f0709ba7b62589e2ea574d8bfd7a74a9555b2b82835c82bfaea747bf/original,,,,,,,,,,,,,
Image,Exclusive movies and series only on Disney+,https://cnbl-cdn.bamgrid.com/assets/fb62535e18feeb536ffdc486661f492461f109b6097b4929fcd65bd6dc336030/original,,,,,,,,,,,,,
Image,Disney+ shows on different devices,https://cnbl-cdn.bamgrid.com/assets/3791a6d309098cf75164d8bc6ab85956b348380d0fa0f7aa23254c5bd322d6e3/original,,,,,,,,,,,,,
Image,Icon Movie Reel,https://cnbl-cdn.bamgrid.com/assets/5f7f9480255cb2644c8f5d98f6d0f2680ab0f009dd0d2b3bf387eefb8fbcd825/original,,,,,,,,,,,,,
Image,Multiple Devices Icon,https://cnbl-cdn.bamgrid.com/assets/f9f0c4a37b0d751b189c69d554b10b589039f45e8c52e254defad47b5aec9e72/original,,,,,,,,,,,,,
Image,Icon Kids,https://cnbl-cdn.bamgrid.com/assets/2784b3421595d1ea135dddf29656c6cbb45a5acb97fc4503af79bceb2387f2b3/original,,,,,,,,,,,,,
Image,TV icon,https://cnbl-cdn.bamgrid.com/assets/00fb59319fa715222100d8a84d11bc7e23a42970b4f413c9e85166d0cfba9346/original,,,,,,,,,,,,,
Image,Compute,https://cnbl-cdn.bamgrid.com/assets/d73b7c534afd2af2a454dbd47bd6c766c70e334ce8137084e9cd25c2644dd267/original,,,,,,,,,,,,,
Image,Mobile and Tablet,https://cnbl-cdn.bamgrid.com/assets/66475056e769443ef9a491a48dfa44059c8964890ae9ef7c4f69f322693c59d8/original,,,,,,,,,,,,,
Image,Game Consoles,https://cnbl-cdn.bamgrid.com/assets/51b639d2ebe97ee175975c29d42a90b0e043713856db8e5d6d9fb87b2b3a48c0/original,,,,,,,,,,,,,
Image,,https://cnbl-cdn.bamgrid.com/assets/e41a64255b8a5840df6162a10642ad98f42a80d3ca8aeb5ebcd70f74d096c0b0/original,,,,,,,,,,,,,
Image,Company Logo,https://cdn.cookielaw.org/logos/static/ot_company_logo.png,,,,,,,,,,,,,
Image,Powered by Onetrust,https://cdn.cookielaw.org/logos/static/powered_by_logo.svg,,,,,,,,,,,,,
Header,More stories than ever before,,,,,,,,,,,,,,
Header,Epic Stories Await,,,,,,,,,,,,,,
Header,Choose your plan,,,,,,,,,,,,,,
Header,Watch the way you want,,,,,,,,,,,,,,
Header,Endless entertainment,,,,,,,,,,,,,,
Header,Available on your favourite devices,,,,,,,,,,,,,,
Header,Easy-to-use parental controls,,,,,,,,,,,,,,
Header,Frequently Asked Questions,,,,,,,,,,,,,,
Header,Available on your favourite devices,,,,,,,,,,,,,,
Header,TV,,,,,,,,,,,,,,
Header,Computer,,,,,,,,,,,,,,
Header,Mobile & Tablet,,,,,,,,,,,,,,
Header,Game Consoles,,,,,,,,,,,,,,
Header,,,,,,,,,,,,,,,
Header,,,,,,,,,,,,,,,
Header,,,,,,,,,,,,,,,
Button,SIGN UP NOW,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,What is Disney+?,,,,,,,,,,,,,,
Button,What can I stream/watch on Disney+?,,,,,,,,,,,,,,
Button,How much does Disney+ cost?,,,,,,,,,,,,,,
Button,Where can I watch Disney+?,,,,,,,,,,,,,,
Button,Does Disney+ offer parental controls?,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Button,,,,,,,,,,,,,,,
Link,LOG IN,https://www.disneyplus.com/identity/login,,,,,,,,,,,,,
Link,STANDARD WITH ADS,https://www.disneyplus.com/identity/sign-up?pref=disney_basic,,,,,,,,,,,,,
Link,STANDARD,https://www.disneyplus.com/identity/sign-up?pref=disney_standard&duration=monthly,,,,,,,,,,,,,
Link,PREMIUM,https://www.disneyplus.com/identity/sign-up?pref=disney_premium&duration=monthly,,,,,,,,,,,,,
Link,$129.99 / year,https://www.disneyplus.com/identity/sign-up?pref=disney_standard&duration=annual,,,,,,,,,,,,,
Link,$159.99 / year,https://www.disneyplus.com/identity/sign-up?pref=disney_premium&duration=annual,,,,,,,,,,,,,
Link,Learn more,https://help.disneyplus.com/?utm_source=disneyplus&utm_medium=web&utm_campaign=CA-comp-chart&utm_content=home-page,,,,,,,,,,,,,
Link,,https://www.disneyplus.com/en-ca/welcome/whats-on-disneyplus,,,,,,,,,,,,,
Link,,https://www.disneyplus.com/en-ca/welcome/gift-subscription,,,,,,,,,,,,,
Link,,https://help.disneyplus.com/?utm_source=disneyplus&utm_medium=web&utm_campaign=emea-us-ca-homepage-faq&utm_content=home-page,,,,,,,,,,,,,
Link,,https://help.disneyplus.com/article/disneyplus-devices-supported/?utm_source=disneyplus&utm_medium=web&utm_campaign=homepage-FAQ&utm_content=supported-devices,,,,,,,,,,,,,
Link,,https://help.disneyplus.com/article/disneyplus-parental-controls/?utm_source=disneyplus&utm_medium=web&utm_campaign=CA-homepage-faq&utm_content=disneyplus-parental-controls,,,,,,,,,,,,,
Link,Accessibility Feedback,https://help.disneyplus.com/article/disneyplus-accessibility-feedback/?utm_source=disneyplus&utm_medium=web&utm_campaign=CA-unauthenticated-site-footer&utm_content=accessibility-feedback,,,,,,,,,,,,,
Link,Privacy Policy,https://www.disneyplus.com/en-gb/legal/privacy-policy,,,,,,,,,,,,,
Link,Supplemental Privacy Policy for Canada,https://privacy.thewaltdisneycompany.com/en/current-privacy-policy/supplemental-privacy-policy-for-canada/,,,,,,,,,,,,,
Link,Subscriber Agreement,https://www.disneyplus.com/en-gb/legal/subscriber-agreement,,,,,,,,,,,,,
Link,Manage Privacy Preferences,,,,,,,,,,,,,,
Link,Interest-Based Ads,https://preferences-mgr.trustarc.com/?pid=disney01&aid=disneyplus01&type=disneyplus,,,,,,,,,,,,,
Link,What to Watch in Canada,https://www.disneyplus.com/en-ca/welcome/whats-on-disneyplus,,,,,,,,,,,,,
Link,Help,https://help.disneyplus.com/?utm_source=disneyplus&utm_medium=web&utm_campaign=unauthorized-site-footer&utm_content=home-page,,,,,,,,,,,,,
Link,Supported Devices,https://help.disneyplus.com/article/disneyplus-devices-supported/?utm_source=disneyplus&utm_medium=web&utm_campaign=unauthorized-site-footer&utm_content=supported-devices,,,,,,,,,,,,,
Link,About Us,https://help.disneyplus.com/article/disneyplus-introduction/?utm_source=disneyplus&utm_medium=web&utm_campaign=unauthorized-site-footer&utm_content=introduction,,,,,,,,,,,,,
Link,Agatha All Along,https://www.disneyplus.com/en-ca/series/agatha-all-along/6Nf0RIVHbJnh,,,,,,,,,,,,,
Link,Descendants: Rise of Red,https://www.disneyplus.com/en-ca/movies/descendants-the-rise-of-red/pa71YxxSEaY2,,,,,,,,,,,,,
Link,The Acolyte,https://www.disneyplus.com/en-ca/series/the-acolyte/39RAA0bOYXQ0,,,,,,,,,,,,,
Link,X-Men '97,https://www.disneyplus.com/en-ca/series/x-men-97/vc1XIz90ZNH5,,,,,,,,,,,,,
Link,Ahsoka,https://www.disneyplus.com/en-ca/series/ahsoka/pdpjs2TO4zJ4,,,,,,,,,,,,,
Link,The Mandalorian,https://www.disneyplus.com/en-ca/series/the-mandalorian/3jLIGMDYINqD,,,,,,,,,,,,,
Link,Percy Jackson and the Olympians,https://www.disneyplus.com/en-ca/series/percy-jackson-and-the-olympians/ql33aq42HBdr,,,,,,,,,,,,,
Link,Loki,https://www.disneyplus.com/en-ca/series/loki/6pARMvILBGzF,,,,,,,,,,,,,
Link,Inside Out 2,https://www.disneyplus.com/en-ca/movies/inside-out-2/6MeZYf9JkFii,,,,,,,,,,,,,
Link,Shōgun,https://www.disneyplus.com/en-ca/series/shogun/77sCbAqhMU5H,,,,,,,,,,,,,
Link,Modern Family,https://www.disneyplus.com/en-ca/series/modern-family/6p2yzz9mh8Kp,,,,,,,,,,,,,
Link,Rise of the Planet of the Apes,https://www.disneyplus.com/en-ca/movies/rise-of-the-planet-of-the-apes/53VCodvBKH2g,,,,,,,,,,,,,
Link,The Kardashians,https://www.disneyplus.com/en-ca/series/the-kardashians/7hqWpHqvPyVW,,,,,,,,,,,,,
Link,The Bear,https://www.disneyplus.com/en-ca/series/the-bear/52m6nx7HoP5F,,,,,,,,,,,,,
Link,Criminal Minds,https://www.disneyplus.com/en-ca/series/criminal-minds/6PNwItKkiA6Z,,,,,,,,,,,,,
Link,The Secret Lives of Mormon Wives,https://www.disneyplus.com/en-ca/series/the-secret-lives-of-mormon-wives/kVP9xvwY1Rvz,,,,,,,,,,,,,
Link,All Collections,https://www.disneyplus.com/en-ca/editorial/all-collections,,,,,,,,,,,,,
Link,Halloween,https://www.disneyplus.com/en-ca/editorial/halloween,,,,,,,,,,,,,
Link,Canada,https://www.disneyplus.com/en-ca/editorial/canada,,,,,,,,,,,,,
Link,Bingeable Series,https://www.disneyplus.com/en-ca/editorial/bingeable-series,,,,,,,,,,,,,
Link,Shorts,https://www.disneyplus.com/en-ca/editorial/shorts,,,,,,,,,,,,,
Link,Sports,https://www.disneyplus.com/en-ca/editorial/sports,,,,,,,,,,,,,
Link,Documentary,https://www.disneyplus.com/en-ca/editorial/documentary,,,,,,,,,,,,,
Link,Suspense & Thrillers,https://www.disneyplus.com/en-ca/editorial/suspense-and-thrillers,,,,,,,,,,,,,
Link,Marvel,https://www.disneyplus.com/en-ca/brand/marvel,,,,,,,,,,,,,
Link,Star Wars,https://www.disneyplus.com/en-ca/brand/star-wars,,,,,,,,,,,,,
Link,National Geographic,https://www.disneyplus.com/en-ca/brand/national-geographic,,,,,,,,,,,,,
Link,Pixar,https://www.disneyplus.com/en-ca/brand/pixar,,,,,,,,,,,,,
Link,Disney,https://www.disneyplus.com/en-ca/brand/disney,,,,,,,,,,,,,
Link,Star,https://www.disneyplus.com/en-ca/brand/star,,,,,,,,,,,,,
Link,,https://x.com/DisneyPlusCA,,,,,,,,,,,,,
Link,,https://www.facebook.com/DisneyPlusCA,,,,,,,,,,,,,
Link,,https://www.instagram.com/disneyplusCA,,,,,,,,,,,,,
Link,,https://www.tiktok.com/@disneyplus,,,,,,,,,,,,,
Link,,https://www.youtube.com/@disneyplus,,,,,,,,,,,,,
Link,,https://www.disneyplus.com/en-gb/legal/cookies-policy,,,,,,,,,,,,,
Link,,https://www.onetrust.com/products/cookie-consent/,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Text,Based on Rudyard Kipling’s timeless stories and inspired by Disney’s classic animated film, The Jungle Book is a live-action epic adventure about Mowgli (Neel Sethi), a man-cub who’s been raised by a family of wolves. But Mowgli finds he’s no longer welcome in the jungle when fearsome tiger Shere Khan (voice of Idris Elba), who bears the scars of Man, promises to eliminate what he sees as a threat. Urged to abandon the only home he’s ever known, Mowgli embarks on a journey of self-discovery, guided by panther-turned-stern-mentor Bagheera (voice of Ben Kingsley) and the free-spirited bear Baloo (voice of Bill Murray). Along the way, Mowgli encounters jungle creatures who don’t exactly have his best interests at heart, including Kaa (voice of Scarlett Johansson), a python whose seductive voice and gaze hypnotize the man-cub, and the smooth-talking King Louie (voice of Christopher Walken), who tries to coerce Mowgli into giving up the secret to the elusive and deadly red flower: fire. Some flashing lights sequences or patterns may affect photosensitive viewers.,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Image,Disney+,https://static-assets.bamgrid.com/product/disneyplus/images/disney-plus-logo-white.3b4910ec3c8417655f6f0511d5d9244d.svg,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Image,The Jungle Book,https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/3ED721E99AB91E0368E4B0991A4AB8A5086C1B015AB657E324BB0546B98079C3/scale?width=440&aspectRatio=1.78&format=webp,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Image,The Jungle Book,https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/4AA3B6E45AD7971852B72C194CA13F1756FCE6EFBE8C43C57BD5B9578B8B9F6A/scale?width=440&aspectRatio=1.78&format=webp,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Image,PG,https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/617B8E26BE83893584472159F50AA8D4C7DDD89FA14EFDCD4FE0BCD246880EF5/scale?width=200&format=webp,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Image,Audio Descriptions,https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/FD4912EB883B7CCB847EB9C62E1FC853D547CAF7DF940B9086AE35AFAD0848AB/scale?width=200&format=webp,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Image,Closed Captions,https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/FAE63AC7AC11C27C949E1856CF188BF09FC20EA52AEA3B65B43C24EEB5F29BFD/scale?width=200&format=webp,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Image,PG,https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/617B8E26BE83893584472159F50AA8D4C7DDD89FA14EFDCD4FE0BCD246880EF5/scale?width=200&format=webp,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Image,thumbnail - Pinocchio,https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/B2F38C86D73FAB6662D2D6772D65104267BEC68B12367DB93E308258CE21B270/scale?width=600&aspectRatio=1.78&format=webp,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Image,thumbnail - The Lion King,https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/6E3379DBFDA41CF305BFD7FE6D14FDB5F901F0CDC9B27C66D7E6FBEA2864B4F2/scale?width=600&aspectRatio=1.78&format=webp,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Image,thumbnail - Aladdin,https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/A546B855C2A59B8BFB5BD69B1A8FCA0AD898E3A17AF8286930B33F1E343508DE/scale?width=600&aspectRatio=1.78&format=webp,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Image,thumbnail - Beauty and the Beast,https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/4362EDE4DB37C98CB64DB5D8B5838C5BD7EBB58CE8AA5642CAB820CBFEBCCF48/scale?width=600&aspectRatio=1.78&format=webp,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Image,thumbnail - Mulan,https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/B3E1E4590F2E2A74924B190D58A68C15088A267A8546BB7C431F54A44D2F47C4/scale?width=600&aspectRatio=1.78&format=webp,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Image,thumbnail - The Jungle Book,https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/88D4AB27908B1613E3790FF8F0EC9BE5B9583F07F1C7D3590DA4449DB35FA9AD/scale?width=600&aspectRatio=1.78&format=webp,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Image,thumbnail - Dumbo,https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/FE4C5B875874304FF7F16EEC6765F3B6E47FD4DE5D35B757ACCD022A510F930E/scale?width=600&aspectRatio=1.78&format=webp,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Image,thumbnail - Alice in Wonderland,https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/943CE5CA9D5AFF7CE6FC3FF23DA242BE8E4F7274B2E1B59B9EB1A869D35E0335/scale?width=600&aspectRatio=1.78&format=webp,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Image,,https://cnbl-cdn.bamgrid.com/assets/90b70e482fdbaaf3eb114649007158a4951d89270cba5e00da4fab657d420865/original,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Image,Company Logo,https://cdn.cookielaw.org/logos/static/ot_company_logo.png,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Image,Powered by Onetrust,https://cdn.cookielaw.org/logos/static/powered_by_logo.svg,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Header,The Jungle Book,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Header,You May Also Like,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Header,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Header,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Header,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,DETAILS,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
https://www.disneyplus.com/en-ca/movies/the-jungle-book/6mPifwCWjpbQ,Button,,,,,,,,,,,,,,
